순위,팀명,경기,승점,승,무,패,득점,실점,득실차
1,맨시티,12,28,9,1,2,32,12,20
2,리버풀,12,27,8,3,1,27,10,17
3,아스널,12,27,8,3,1,26,10,16
4,토트넘,12,26,8,2,2,24,15,9
5,아스톤 빌라,12,25,8,1,3,29,17,12
6,맨유,12,21,7,0,5,13,16,-3
7,뉴캐슬,12,20,6,2,4,27,13,14
8,브라이튼,12,19,5,4,3,25,21,4
9,웨스트햄,12,17,5,2,5,21,22,-1
10,첼시,12,16,4,4,4,21,16,5
11,브렌트포드,12,16,4,4,4,19,17,2
12,울버햄튼,12,15,4,3,5,16,20,-4
13,팰리스,12,15,4,3,5,12,16,-4
14,노팅엄,12,13,3,4,5,14,18,-4
15,풀럼,12,12,3,3,6,10,20,-10
16,본머스,12,9,2,3,7,11,27,-16
17,루턴,12,6,1,3,8,10,22,-12
18,셰필드,12,5,1,2,9,10,31,-21
19,에버턴,12,4,4,2,6,14,17,-3
20,번리,12,4,1,1,10,9,30,-21
